"","name","releasedate"
"459","Ajnabi Saaya","1998"
"460","Ajooba","1991"
"461","Ajooba Kudrat Ka","1991"
"462","AK 47","2004"
"463","AkaashVani","2013"
"464","Akadd","2015"
"465","Akalmand","1966"
"466","Akalmand","1984"
"467","Akash Pari","1958"
"468","Akayla","1991"
"469","Akela","1941"
"470","Akela","1963"
"471","Akele Hum Akele Tum","1995"
"472","Akele Na Jana","1999"
"473","Akeli Mat Jaiyo","1963"
"474","Akhand Saubhagyawati","1982"
"475","Akhri Badla","1990"
"476","Akhri Muqabla","1989"
"477","Akira","2016"
"478","Akkad Bakkad Bam Be Bo","2012"
"479","Akkareakkareakkare","1990"
"480","Akki, Vikki te Nikki","2015"
"481","Akriet","1981"
"482","Aks","2001"
"483","Aksar","2006"
"484","Aksar 2","2016"
"485","Al Hilal","1958"
"486","Alaap","1977"
"487","Aladin","2009"
"488","Aladin & The Wonderful Lamp","1952"
"489","Alag","2006"
"490","Alag Alag","1985"
"491","Alai Payuthey","2000"
"492","Alakh Niranjan","1940"
"493","Alakh Niranjan","1950"
"494","Alam Ara","1931"
"495","Alam Ara","1973"
"496","Alam Ara Ki Beti","1960"
"497","Alamara","1931"
"498","Alavuddinum Athbutha Vilakkum","1979"
"499","Albela","1951"
"500","Albela","1971"
"501","Albela","2001"
"502","Albela Mastana","1967"
"503","Albeli","1955"
"504","Albeli","1974"
"505","Albert Pinto Ko Gussa Kyon Ata Hai","1981"
"506","Alibaba","1976"
"507","Alibaba and 40 Thieves","1954"
"508","Alibaba Aur 40 Chor","1980"
"509","Alibaba Aur 40 Chor","2004"
"510","Alibaba aur 41 Chor","2011"
"511","Alibaba Marjina","1977"
"512","Alibaug","2011"
"513","Alice Through the Looking Glass (English)","2016"
"514","Alien: Covenant (English)","2017"
"515","Alif","2017"
"516","Alif Laila","1933"
"517","Alif Laila","1953"
"518","Aligarh","2016"
"519","All Alone","2004"
"520","All Is Well","2015"
"521","All Rounder","1984"
"522","All The Best","2009"
"523","All U Need<U+0085> LOVE","2015"
"524","Allah Ke Banday","2010"
"525","Allah Meharban To Gadha Pahelwan","1997"
"526","Allah Rakha","1986"
"527","Allaudin Ka Beta","1955"
"528","Allaudin Ka Chirag","1958"
"529","Allaudin Laila","1941"
"530","Allaudin Laila","1957"
"531","Alone","2015"
"532","Aloo Chaat","2009"
"533","Always Kabhi Kabhi","2011"
"534","Amaanat","1943"
"535","Amaanat","1955"
"536","Amaanat","1976"
"537","Amaanat","1994"
"538","Aman","1967"
"539","Aman Ke Farishtey","2016"
"540","Amanush","1975"
"541","Amar","1954"
"542","Amar Akbar Anthony","1977"
"543","Amar Akbar Anthony Remake","2015"
"544","Amar Deep","1958"
"545","Amar Deep","1979"
"546","Amar Jyoti","1936"
"547","Amar Jyoti","1967"
"548","Amar Kahani","1949"
"549","Amar Prem","1936"
"550","Amar Prem","1948"
"551","Amar Prem","1962"
"552","Amar Prem","1972"
"553","Amar Pyar","1958"
"554","Amar Rahe Yeh Pyar","1961"
"555","Amar Saigal","1955"
"556","Amar Shaheed","1961"
"557","Amar Shakti","1978"
"558","Amar Singh Rathod","1957"
"559","Amara Prema","1978"
"560","Amavas","2011"
"561","Amavas Ki Raat","1990"
"562","Amba","1990"
"563","Amber","1952"
"564","Amchya Sarkhe Amhich","1990"
"565","Amdavad Junction","2013"
"566","Ameer","1954"
"567","Ameer Admi Garib Admi","1985"
"568","Ameer Garib","1974"
"569","Ameer Zadi","1934"
"570","Ameeri","1945"
"571","American Blend","2006"
"572","American Chai","2003"
"573","American Daylight","2011"
"574","Ami Yasin Arr Amar Madhubala","2010"
"575","Amiri Garibi","1990"
"576","Amit Sahni Ki List","2014"
"577","Amma","2013"
"578","Amma","1986"
"579","Amma","2003"
"580","Ammaa Ki Boli","2012"
"581","Amphigori","2015"
"582","Amrapali","1945"
"583","Amrapali","1966"
"584","Amrapali","2015"
"585","Amrit","1941"
"586","Amrit","1986"
"587","Amrit Manthan","1934"
"588","Amrit Manthan","1961"
"589","Amrithadhare","2005"
"590","An Evening In Paris","1967"
"591","Anaahat","2003"
"592","Anaam","1992"
"593","Anaarkali Of Aarah","2017"
"594","Anamika","1973"
"595","Anamika","2008"
"596","Anand","1971"
"597","Anand Ashram","1977"
"598","Anand Aur Anand","1984"
"599","Anand Bhavan","1953"
"600","Anand Math","1952"
"601","Ananda Jyoti","1963"
"602","Anandigopal","1992"
"603","Anar Bala","1962"
"604","Anari","1959"
"605","Anari","1975"
"606","Anari","1993"
"607","Anari No. 1","1999"
"608","Anarkali","1935"
"609","Anarkali","1953"
"610","Anbe Sivam","2003"
"611","Anbukku Naan Adimai","1980"
"612","Anbulla Rajanikant","1984"
"613","Anchhuyee","2003"
"614","And Once Again","2010"
"615","Andaaz","1971"
"616","Andaaz","1994"
"617","Andaaz","2003"
"618","Andar Bahar","1984"
"619","Andaz","1949"
"620","Andaz Apna Apna","1994"
"621","Andaz Naya Naya","2015"
"622","Andha Intequam","1993"
"623","Andha Kanoon","1983"
"624","Andha Oru Nimidam","1985"
"625","Andha Yudh","1988"
"626","Andher Nagari Chapat Raja","1955"
"627","Andhera","1975"
"628","Andhera","1994"
"629","Andhergardi","1989"
"630","Andheri Raat Mein Diya Tere Hath Mein","1986"
"631","Andheri Raaton Mein","2001"
"632","Andhi Gali","1985"
"633","Andhon Ka Sahara","1948"
"634","Andhon Ki Duniya","1947"
"635","Andolan","1951"
"636","Andolan","1977"
"637","Andolan","1995"
"638","Ang Se Ang Laga Lay","2002"
"639","Ang Se Ang Lagale","1974"
"640","Angaar","1980"
"641","Angaar","1992"
"642","Angaar -The Fire","2002"
"643","Angaar Vadee","1998"
"644","Angaara","1996"
"645","Angaarey","1954"
"646","Angaarey","1976"
"647","Angaarey","1986"
"648","Angaarey","1998"
"649","Angarakshak","1995"
"650","Angel","2011"
"651","Angoor","1982"
"652","Angoor","2005"
"653","Angoori","1943"
"654","Angoori Bani Angaara","2015"
"655","Angoothi","1944"
"656","Angry Indian Goddesses","2015"
"657","Angry Young Man","2014"
"658","Angulimal","1961"
"659","Anhoni","1952"
"660","Anhoni","1973"
"661","Anita","1967"
"662","Anjaam","1968"
"663","Anjaam","1978"
"664","Anjaam","1986"
"665","Anjaam","1994"
"666","Anjaam Khuda Jane","1989"
"667","Anjaan","1952"
"668","Anjaan","2011"
"669","Anjaan","1941"
"670","Anjaan","1956"
"671","Anjaan Hai Koi","1969"
"672","Anjaan Parindey","2015"
"673","Anjaan Rahen","1974"
"674","Anjaana","1948"
"675","Anjaana","1969"
"676","Anjaana Anjaani","2010"
"677","Anjaane","1997"
"678","Anjaane <U+0096> The Unknown","2005"
"679","Anjali","1957"
"680","Anjali","1991"
"681","Anjan Garh","1948"
"682","Anjane Mein","1978"
"683","Anji","2004"
"684","Anjuman","1948"
"685","Ankahee","2006"
"686","Ankahee","1985"
"687","Ankh Ka Nasha","1956"
"688","Ankhiyon Ke Jharokhon Se","1978"
"689","Ankhiyon Se Goli Maare","2002"
"690","Ankhon Dekhi","2014"
"691","Ankur","1974"
"692","Ankur Arora Murder Case","2013"
"693","Ankush","1986"
"694","Ankush <U+0096> The Command","2006"
"695","Anmol","1993"
"696","Anmol Ghadi","1946"
"697","Anmol Moti","1969"
"698","Anmol Ratan","1950"
"699","Anmol Sahara","1952"
"700","Anmol Sitarey","1983"
"701","Anmol Tasveer","1978"
"702","Anna","2016"
"703","Annadata","1953"
"704","Annadata","1972"
"705","Annai Oru Aalayam","1979"
"706","Annai Velankanni","1971"
"707","Annamalai","1992"
"708","Annarth","2002"
"709","Anokha","1975"
"710","Anokha Andaz","1995"
"711","Anokha Anubhav","2004"
"712","Anokha Bandhan","1982"
"713","Anokha Daan","1972"
"714","Anokha Insaan","1986"
"715","Anokha Milan","1972"
"716","Anokha Modh","1985"
"717","Anokha Prem","1934"
"718","Anokha Prem Yudh","1994"
"719","Anokha Pyar","1948"
"720","Anokha Rishta","1986"
"721","Anokhi Ada","1948"
"722","Anokhi Ada","1973"
"723","Anokhi Mohabbat","1934"
"724","Anokhi Pehchan","1972"
"725","Anokhi Raat","1969"
"726","Anokhi Seva","1949"
"727","Anpadh","1962"
"728","Anpadh","1978"
"729","Ansh","2002"
"730","Ansoo Ban Gaye Phool","1969"
"731","Ansoo Ki Duniya","1936"
"732","Ant-Man","2015"
"733","Antaheen","2010"
"734","Antar Mahal","2005"
"735","Antardwand","2010"
"736","Antarnaad","1992"
"737","Anth","1994"
"738","Anthahpuram","1998"
"739","Antharangam","1975"
"740","Anthony Kaun Hai?","2006"
"741","Anthuleni Katha","1976"
"742","Antim Nyay","1993"
"743","Anubhav","1972"
"744","Anubhav","1986"
"745","Anubhav","2009"
"746","Anubhav Sinha <U+0096> Vikram Bhatt film","2015"
"747","Anupama","1966"
"748","Anuraag","1956"
"749","Anuraag","1972"
"750","Anuradha","1940"
"751","Anuradha","1960"
"752","Anuradha","2014"
"753","Anuranan","2008"
"754","Anurodh","1977"
"755","Anwar","2007"
"756","Anwar Ka Ajab Kissa","2015"
"757","Any Tim","Mone"
"758","Anyay Hi Anyay","1999"
"759","Apaharan","2005"
"760","Aparichit","2006"
"761","Apartment","2010"
"762","Apatkaal","1993"
"763","Aplam Chaplam","1962"
"764","Apmaan","1982"
"765","Apmaan Ki Aag","1990"
"766","Apmanit","2017"
"767","Apna Asmaan","2007"
"768","Apna Bana Lo","1982"
"769","Apna Banake Dekho","1963"
"770","Apna Desh","1949"
"771","Apna Desh","1972"
"772","Apna Desh Paraye Log","1989"
"773","Apna Dushman","1975"
"774","Apna Ghar","1960"
"775","Apna Ghar","1989"
"776","Apna Ghar Apni Kahani","1968"
"777","Apna Hath Jagannath","1960"
"778","Apna Jahan","1985"
"779","Apna Kaun?","1996"
"780","Apna Khoon","1978"
"781","Apna Khoon Apna Dushman","1970"
"782","Apna Paraya","1941"
"783","Apna Sapna Money Money","2006"
"784","Apna Sapna Money Money 2","2015"
"785","Apnapan","1977"
"786","Apne","2007"
"787","Apne Apne","1987"
"788","Apne Apne Phanday","2016"
"789","Apne Begaane","1989"
"790","Apne Dam Par","1996"
"791","Apne Dushman","1976"
"792","Apne Hue Paraye","1964"
"793","Apne Paray","1980"
"794","Apne Rang Hazar","1975"
"795","Apni Chhaya","1950"
"796","Apni Izzat","1952"
"797","Apni Nagaria","1940"
"798","Apoorva Raagangal","1975"
"799","Apoorva Sahodarargal","1990"
"800","Apradh","1972"
"801","Apradhi","1950"
"802","Apradhi","1974"
"803","Apradhi","1992"
"804","Apradhi Kaun","1957"
"805","Apradhi Kaun","1982"
"806","Apradhi Kaun?","2000"
"807","Apradhinee","1990"
"808","April Fool","1964"
"809","Apsara","1961"
"810","Arab Ka Lal","1964"
"811","Arab Ka Saudagar","1956"
"812","Arab Ka Sitara","1961"
"813","Arabian Night","1967"
"814","Aradhana","1969"
"815","Aram   Aram = Kinnaram","1985"
"816","Archana","1973"
"817","Ardh Satya","1983"
"818","Ardhangini","1959"
"819","Arjun","1985"
"820","Arjun <U+0096> The Warrior Prince","2012"
"821","Arjun Devaa","2001"
"822","Arjun Pandit","1976"
"823","Arjun Pandit","1999"
"824","Armaan","2003"
"825","Armaan","1953"
"826","Armaan","1981"
"827","Army","1996"
"828","Around The World","1967"
"829","Arpan","1983"
"830","Arrangetram","1973"
"831","Arrival (English)","2016"
"832","Arth","1983"
"833","Arunachalam","1997"
"834","Arvind Desai Ki Ajeeb Dastan","1978"
"835","Aryan","1988"
"836","Aryan <U+0096> Unbreakable","2006"
"837","Arzoo","1950"
"838","Arzoo","1965"
"839","Asambhav","1984"
"840","Asambhav","2004"
"841","Ascharyachakit","2016"
"842","Aseema Beyond Boundaries","2010"
"843","Asha","1938"
"844","Asha","1957"
"845","Asha Jyoti","1984"
"846","Ashadh Ka Ek Din","1971"
"847","Ashant","1993"
"848","Ashanti","1982"
"849","Ashiana","1952"
"850","Ashique Mastana","1996"
"851","Ashirwad","1943"
"852","Ashirwad","1969"
"853","Ashley","2017"
"854","Ashok Chakra","2010"
"855","Ashoka The Hero","2011"
"856","Ashray","1985"
"857","Ashtavinayak<U+0092>s Next","2015"
"858","Ashwini","1992"
"859","Asli Naqli","1963"
"860","Asli Naqli","1986"
"861","Asliyat","1974"
"862","Asoka","2001"
"863","Assee Nabbe Poore Sau","2015"
"864","Astitva","2000"
"865","Ata Pata Laapata","2012"
"866","Athadu","2005"
